USER_INPUT | CORRECTED_QUERY | SQL_QUERY | QUERY_TYPE | ACTION_TYPE | DISPLAY_ENTITIES | FILTER_ENTITIES
Show minimum order for BC67890 | Show minimum order for BC67890 | SELECT      MOQ    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'BC67890' | CONTRACTS | parts_by_part_number | MOQ | INVOICE_PART_NUMBER = BC67890
What min order qty for DE23456? | What min order qty for DE23456? | SELECT      MOQ    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'DE23456' | CONTRACTS | parts_by_part_number | MOQ | INVOICE_PART_NUMBER = DE23456
MOQ for part FG78901 | MOQ for part FG78901 | SELECT      MOQ    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'FG78901' | CONTRACTS | parts_by_part_number | MOQ | INVOICE_PART_NUMBER = FG78901
Minimum order quantity for HI34567 | Minimum order quantity for HI34567 | SELECT      MOQ    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'HI34567' | CONTRACTS | parts_by_part_number | MOQ | INVOICE_PART_NUMBER = HI34567
What UOM for part JK89012? | What UOM for part JK89012? | SELECT      UOM    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'JK89012' | CONTRACTS | parts_by_part_number | UOM | INVOICE_PART_NUMBER = JK89012
Show unit of measure for LM45678 | Show unit of measure for LM45678 | SELECT      UOM    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'LM45678' | CONTRACTS | parts_by_part_number | UOM | INVOICE_PART_NUMBER = LM45678
UOM for NO90123 | UOM for NO90123 | SELECT      UOM    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'NO90123' | CONTRACTS | parts_by_part_number | UOM | INVOICE_PART_NUMBER = NO90123
Unit measure for PQ56789 | Unit measure for PQ56789 | SELECT      UOM    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'PQ56789' | CONTRACTS | parts_by_part_number | UOM | INVOICE_PART_NUMBER = PQ56789
What unit for part RS12345? | What unit for part RS12345? | SELECT      UOM    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'RS12345' | CONTRACTS | parts_by_part_number | UOM | INVOICE_PART_NUMBER = RS12345
What's the status of part AE12345? | What's the status of part AE12345? | SELECT      STATUS    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'AE12345' | CONTRACTS | parts_by_part_number | STATUS | INVOICE_PART_NUMBER = AE12345
Show part staus for BC67890 | show part status for bc67890 | SELECT      STATUS    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'BC67890' | CONTRACTS | parts_by_part_number | STATUS | INVOICE_PART_NUMBER = BC67890
Status for part DE23456 | Status for part DE23456 | SELECT      STATUS    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'DE23456' | CONTRACTS | parts_by_part_number | STATUS | INVOICE_PART_NUMBER = DE23456
What status FG78901? | What status FG78901? | SELECT      STATUS    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'FG78901' | CONTRACTS | parts_by_part_number | STATUS | INVOICE_PART_NUMBER = FG78901
Show part status for HI34567 | Show part status for HI34567 | SELECT      STATUS    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'HI34567' | CONTRACTS | parts_by_part_number | STATUS | INVOICE_PART_NUMBER = HI34567
Is part JK89012 active? | Is part JK89012 active? | SELECT      PART_NUMBER, PRICE, MOQ, UOM, LEAD_TIME, ITEM_CLASSIFICATION    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'JK89012' AND STATUS = 'ACTIVE' | CONTRACTS | parts_by_part_number | PART_NUMBER, PRICE, MOQ, UOM, LEAD_TIME, ITEM_CLASSIFICATION | INVOICE_PART_NUMBER = JK89012, STATUS = ACTIVE
Part status for LM45678 | Part status for LM45678 | SELECT      STATUS    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'LM45678' | CONTRACTS | parts_by_part_number | STATUS | INVOICE_PART_NUMBER = LM45678
What's status of NO90123? | What's status of NO90123? | SELECT      STATUS    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'NO90123' | CONTRACTS | parts_by_part_number | STATUS | INVOICE_PART_NUMBER = NO90123
Show status for PQ56789 | Show status for PQ56789 | SELECT      STATUS    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'PQ56789' | CONTRACTS | parts_by_part_number | STATUS | INVOICE_PART_NUMBER = PQ56789
Status info for RS12345 | Status info for RS12345 | SELECT      STATUS    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'RS12345' | CONTRACTS | parts_by_part_number | STATUS | INVOICE_PART_NUMBER = RS12345
What's the item classification for AE12345? | what's the item item classification for ae12345? | SELECT      ITEM_CLASSIFICATION    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'AE12345' | CONTRACTS | parts_by_part_number | ITEM_CLASSIFICATION | INVOICE_PART_NUMBER = AE12345
Show item class for BC67890 | show item item classification for bc67890 | SELECT      ITEM_CLASSIFICATION    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'BC67890' | CONTRACTS | parts_by_part_number | ITEM_CLASSIFICATION | INVOICE_PART_NUMBER = BC67890
Classification for part DE23456 | item classification for part de23456 | SELECT      ITEM_CLASSIFICATION    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'DE23456' | CONTRACTS | parts_by_part_number | ITEM_CLASSIFICATION | INVOICE_PART_NUMBER = DE23456
What class for FG78901? | what item classification for fg78901? | SELECT      ITEM_CLASSIFICATION    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'FG78901' | CONTRACTS | parts_by_part_number | ITEM_CLASSIFICATION | INVOICE_PART_NUMBER = FG78901
Item classification HI34567 | item item classification hi34567 | SELECT      ITEM_CLASSIFICATION    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'HI34567' | CONTRACTS | parts_by_part_number | ITEM_CLASSIFICATION | INVOICE_PART_NUMBER = HI34567
Show classification for JK89012 | show item classification for jk89012 | SELECT      ITEM_CLASSIFICATION    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'JK89012' | CONTRACTS | parts_by_part_number | ITEM_CLASSIFICATION | INVOICE_PART_NUMBER = JK89012
What item class for LM45678? | what item item classification for lm45678? | SELECT      ITEM_CLASSIFICATION    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'LM45678' | CONTRACTS | parts_by_part_number | ITEM_CLASSIFICATION | INVOICE_PART_NUMBER = LM45678
Classification of NO90123 | item classification of no90123 | SELECT      ITEM_CLASSIFICATION    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'NO90123' | CONTRACTS | parts_by_part_number | ITEM_CLASSIFICATION | INVOICE_PART_NUMBER = NO90123
Item class for PQ56789 | item item classification for pq56789 | SELECT      ITEM_CLASSIFICATION    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'PQ56789' | CONTRACTS | parts_by_part_number | ITEM_CLASSIFICATION | INVOICE_PART_NUMBER = PQ56789
Show class for RS12345 | show item classification for rs12345 | SELECT      ITEM_CLASSIFICATION    FROM CRM_PARTS_FINAL WHERE INVOICE_PART_NUMBER = 'RS12345' | CONTRACTS | parts_by_part_number | ITEM_CLASSIFICATION | INVOICE_PART_NUMBER = RS12345
Show me invoice parts for 123456 | Show me invoice parts for 123456 | SELECT      AWARD_NUMBER, PART_NUMBER, PRICE, MOQ, UOM    FROM CRM_PARTS_FINAL WHERE AWARD_NUMBER = 123456 | CONTRACTS | parts_by_contract_number | AWARD_NUMBER, PART_NUMBER, PRICE, MOQ, UOM | AWARD_NUMBER = 123456
What invoice part for 234567? | What invoice part for 234567? | SELECT      AWARD_NUMBER, PART_NUMBER, PRICE, MOQ, UOM    FROM CRM_PARTS_FINAL WHERE AWARD_NUMBER = 234567 | CONTRACTS | parts_by_contract_number | AWARD_NUMBER, PART_NUMBER, PRICE, MOQ, UOM | AWARD_NUMBER = 234567
List invoce parts for 345678 | list invoice parts for 345678 | SELECT      AWARD_NUMBER, PART_NUMBER, PRICE, MOQ, UOM    FROM CRM_PARTS_FINAL WHERE AWARD_NUMBER = 345678 | CONTRACTS | parts_by_contract_number | AWARD_NUMBER, PART_NUMBER, PRICE, MOQ, UOM | AWARD_NUMBER = 345678
Show invoice part for 456789 | Show invoice part for 456789 | SELECT      AWARD_NUMBER, PART_NUMBER, PRICE, MOQ, UOM    FROM CRM_PARTS_FINAL WHERE AWARD_NUMBER = 456789 | CONTRACTS | parts_by_contract_number | AWARD_NUMBER, PART_NUMBER, PRICE, MOQ, UOM | AWARD_NUMBER = 456789
What invoice parts in 567890? | What invoice parts in 567890? | SELECT      AWARD_NUMBER, PART_NUMBER, PRICE, MOQ, UOM    FROM CRM_PARTS_FINAL WHERE AWARD_NUMBER = 567890 | CONTRACTS | parts_by_contract_number | AWARD_NUMBER, PART_NUMBER, PRICE, MOQ, UOM | AWARD_NUMBER = 567890
Get invoice part for 678901 | Get invoice part for 678901 | SELECT      AWARD_NUMBER, PART_NUMBER, PRICE, MOQ, UOM    FROM CRM_PARTS_FINAL WHERE AWARD_NUMBER = 678901 | CONTRACTS | parts_by_contract_number | AWARD_NUMBER, PART_NUMBER, PRICE, MOQ, UOM | AWARD_NUMBER = 678901
Show invoic parts for 789012 | show invoice parts for 789012 | SELECT      AWARD_NUMBER, PART_NUMBER, PRICE, MOQ, UOM    FROM CRM_PARTS_FINAL WHERE AWARD_NUMBER = 789012 | CONTRACTS | parts_by_contract_number | AWARD_NUMBER, PART_NUMBER, PRICE, MOQ, UOM | AWARD_NUMBER = 789012
List invoice part for 890123 | List invoice part for 890123 | SELECT      AWARD_NUMBER, PART_NUMBER, PRICE, MOQ, UOM    FROM CRM_PARTS_FINAL WHERE AWARD_NUMBER = 890123 | CONTRACTS | parts_by_contract_number | AWARD_NUMBER, PART_NUMBER, PRICE, MOQ, UOM | AWARD_NUMBER = 890123
What invoice parts for 123456? | What invoice parts for 123456? | SELECT      AWARD_NUMBER, PART_NUMBER, PRICE, MOQ, UOM    FROM CRM_PARTS_FINAL WHERE AWARD_NUMBER = 123456 | CONTRACTS | parts_by_contract_number | AWARD_NUMBER, PART_NUMBER, PRICE, MOQ, UOM | AWARD_NUMBER = 123456
Show all invoice part for 234567 | Show all invoice part for 234567 | SELECT      AWARD_NUMBER, PART_NUMBER, PRICE, MOQ, UOM    FROM CRM_PARTS_FINAL WHERE AWARD_NUMBER = 234567 | CONTRACTS | parts_by_contract_number | AWARD_NUMBER, PART_NUMBER, PRICE, MOQ, UOM | AWARD_NUMBER = 234567
Show me all parts for contarct 123456 | show me all parts for contract 123456 | SELECT      CONTRACT_NAME, CUSTOMER_NAME, EFFECTIVE_DATE, EXPIRATION_DATE, STATUS, INVOICE_PART_NUMBER, PRICE, MOQ, UOM, LEAD_TIME    FROM CRM_PARTS_FINAL WHERE AWARD_NUMBER = 123456 | CONTRACTS | parts_by_contract_number | CONTRACT_NAME, CUSTOMER_NAME, EFFECTIVE_DATE, EXPIRATION_DATE, STATUS, INVOICE_PART_NUMBER, PRICE, MOQ, UOM, LEAD_TIME | AWARD_NUMBER = 123456
What parts in 234567? | What parts in 234567? | SELECT      AWARD_NUMBER, PART_NUMBER, PRICE, MOQ, UOM    FROM CRM_PARTS_FINAL WHERE AWARD_NUMBER = 234567 | CONTRACTS | parts_by_contract_number | AWARD_NUMBER, PART_NUMBER, PRICE, MOQ, UOM | AWARD_NUMBER = 234567
List part for contract 345678 | List part for contract 345678 | SELECT      CONTRACT_NAME, CUSTOMER_NAME, EFFECTIVE_DATE, EXPIRATION_DATE, STATUS, INVOICE_PART_NUMBER, PRICE, MOQ, UOM, LEAD_TIME    FROM CRM_PARTS_FINAL WHERE AWARD_NUMBER = 345678 | CONTRACTS | parts_by_contract_number | CONTRACT_NAME, CUSTOMER_NAME, EFFECTIVE_DATE, EXPIRATION_DATE, STATUS, INVOICE_PART_NUMBER, PRICE, MOQ, UOM, LEAD_TIME | AWARD_NUMBER = 345678
Show parts for contrat 456789 | show parts for contract 456789 | SELECT      CONTRACT_NAME, CUSTOMER_NAME, EFFECTIVE_DATE, EXPIRATION_DATE, STATUS, INVOICE_PART_NUMBER, PRICE, MOQ, UOM, LEAD_TIME    FROM CRM_PARTS_FINAL WHERE AWARD_NUMBER = 456789 | CONTRACTS | parts_by_contract_number | CONTRACT_NAME, CUSTOMER_NAME, EFFECTIVE_DATE, EXPIRATION_DATE, STATUS, INVOICE_PART_NUMBER, PRICE, MOQ, UOM, LEAD_TIME | AWARD_NUMBER = 456789
What parts loaded in 567890? | What parts loaded in 567890? |  | FAILED_PARTS |  |  | 
Get parts for contarct 678901 | get parts for contract 678901 | SELECT      CONTRACT_NAME, CUSTOMER_NAME, EFFECTIVE_DATE, EXPIRATION_DATE, STATUS, INVOICE_PART_NUMBER, PRICE, MOQ, UOM, LEAD_TIME    FROM CRM_PARTS_FINAL WHERE AWARD_NUMBER = 678901 | CONTRACTS | parts_by_contract_number | CONTRACT_NAME, CUSTOMER_NAME, EFFECTIVE_DATE, EXPIRATION_DATE, STATUS, INVOICE_PART_NUMBER, PRICE, MOQ, UOM, LEAD_TIME | AWARD_NUMBER = 678901
Show all part for 789012 | Show all part for 789012 | SELECT      AWARD_NUMBER, PART_NUMBER, PRICE, MOQ, UOM    FROM CRM_PARTS_FINAL WHERE AWARD_NUMBER = 789012 | CONTRACTS | parts_by_contract_number | AWARD_NUMBER, PART_NUMBER, PRICE, MOQ, UOM | AWARD_NUMBER = 789012
List parts in contract 890123 | List parts in contract 890123 | SELECT      CONTRACT_NAME, CUSTOMER_NAME, EFFECTIVE_DATE, EXPIRATION_DATE, STATUS, INVOICE_PART_NUMBER, PRICE, MOQ, UOM, LEAD_TIME    FROM CRM_PARTS_FINAL WHERE AWARD_NUMBER = 890123 | CONTRACTS | parts_by_contract_number | CONTRACT_NAME, CUSTOMER_NAME, EFFECTIVE_DATE, EXPIRATION_DATE, STATUS, INVOICE_PART_NUMBER, PRICE, MOQ, UOM, LEAD_TIME | AWARD_NUMBER = 890123
What parts for 123456? | What parts for 123456? | SELECT      AWARD_NUMBER, PART_NUMBER, PRICE, MOQ, UOM    FROM CRM_PARTS_FINAL WHERE AWARD_NUMBER = 123456 | CONTRACTS | parts_by_contract_number | AWARD_NUMBER, PART_NUMBER, PRICE, MOQ, UOM | AWARD_NUMBER = 123456
Show part list for 234567 | Show part list for 234567 | SELECT      AWARD_NUMBER, PART_NUMBER, PRICE, MOQ, UOM    FROM CRM_PARTS_FINAL WHERE AWARD_NUMBER = 234567 | CONTRACTS | parts_by_contract_number | AWARD_NUMBER, PART_NUMBER, PRICE, MOQ, UOM | AWARD_NUMBER = 234567
Show me failed parts for 123456 | Show me failed parts for 123456 | SELECT      AWARD_NUMBER, PART_NUMBER, REASON, LOADED_CP_NUMBER    FROM CRM_PARTS_ERROS_FINAL WHERE LOADED_CP_NUMBER = 123456 | FAILED_PARTS | parts_failed_by_contract_number | AWARD_NUMBER, PART_NUMBER, REASON, LOADED_CP_NUMBER | LOADED_CP_NUMBER = 123456
What failed part for 234567? | What failed part for 234567? | SELECT      AWARD_NUMBER, PART_NUMBER, REASON, LOADED_CP_NUMBER    FROM CRM_PARTS_ERROS_FINAL WHERE LOADED_CP_NUMBER = 234567 | FAILED_PARTS | parts_failed_by_contract_number | AWARD_NUMBER, PART_NUMBER, REASON, LOADED_CP_NUMBER | LOADED_CP_NUMBER = 234567
List faild parts for 345678 | list failed parts for 345678 | SELECT      AWARD_NUMBER, PART_NUMBER, REASON, LOADED_CP_NUMBER    FROM CRM_PARTS_ERROS_FINAL WHERE LOADED_CP_NUMBER = 345678 | FAILED_PARTS | parts_failed_by_contract_number | AWARD_NUMBER, PART_NUMBER, REASON, LOADED_CP_NUMBER | LOADED_CP_NUMBER = 345678
Show failed part for 456789 | Show failed part for 456789 | SELECT      AWARD_NUMBER, PART_NUMBER, REASON, LOADED_CP_NUMBER    FROM CRM_PARTS_ERROS_FINAL WHERE LOADED_CP_NUMBER = 456789 | FAILED_PARTS | parts_failed_by_contract_number | AWARD_NUMBER, PART_NUMBER, REASON, LOADED_CP_NUMBER | LOADED_CP_NUMBER = 456789
What parts failed in 567890? | What parts failed in 567890? | SELECT      AWARD_NUMBER, PART_NUMBER, REASON, LOADED_CP_NUMBER    FROM CRM_PARTS_ERROS_FINAL WHERE LOADED_CP_NUMBER = 567890 | FAILED_PARTS | parts_failed_by_contract_number | AWARD_NUMBER, PART_NUMBER, REASON, LOADED_CP_NUMBER | LOADED_CP_NUMBER = 567890
Get failed parts for 678901 | Get failed parts for 678901 | SELECT      AWARD_NUMBER, PART_NUMBER, REASON, LOADED_CP_NUMBER    FROM CRM_PARTS_ERROS_FINAL WHERE LOADED_CP_NUMBER = 678901 | FAILED_PARTS | parts_failed_by_contract_number | AWARD_NUMBER, PART_NUMBER, REASON, LOADED_CP_NUMBER | LOADED_CP_NUMBER = 678901
Show failing parts for 789012 | Show failing parts for 789012 | SELECT      AWARD_NUMBER, PART_NUMBER, PRICE, MOQ, UOM    FROM CRM_PARTS_ERROS_FINAL WHERE LOADED_CP_NUMBER = 789012 | FAILED_PARTS | parts_failed_by_contract_number | AWARD_NUMBER, PART_NUMBER, PRICE, MOQ, UOM | LOADED_CP_NUMBER = 789012
List failed part for 890123 | List failed part for 890123 | SELECT      AWARD_NUMBER, PART_NUMBER, REASON, LOADED_CP_NUMBER    FROM CRM_PARTS_ERROS_FINAL WHERE LOADED_CP_NUMBER = 890123 | FAILED_PARTS | parts_failed_by_contract_number | AWARD_NUMBER, PART_NUMBER, REASON, LOADED_CP_NUMBER | LOADED_CP_NUMBER = 890123
What failed parts for 123456? | What failed parts for 123456? | SELECT      AWARD_NUMBER, PART_NUMBER, REASON, LOADED_CP_NUMBER    FROM CRM_PARTS_ERROS_FINAL WHERE LOADED_CP_NUMBER = 123456 | FAILED_PARTS | parts_failed_by_contract_number | AWARD_NUMBER, PART_NUMBER, REASON, LOADED_CP_NUMBER | LOADED_CP_NUMBER = 123456
Show all failed part for 234567 | Show all failed part for 234567 | SELECT      AWARD_NUMBER, PART_NUMBER, REASON, LOADED_CP_NUMBER    FROM CRM_PARTS_ERROS_FINAL WHERE LOADED_CP_NUMBER = 234567 | FAILED_PARTS | parts_failed_by_contract_number | AWARD_NUMBER, PART_NUMBER, REASON, LOADED_CP_NUMBER | LOADED_CP_NUMBER = 234567
Why did parts fail for 123456? | Why did parts fail for 123456? | SELECT      REASON    FROM CRM_PARTS_ERROS_FINAL WHERE LOADED_CP_NUMBER = 123456 | FAILED_PARTS | parts_failed_by_contract_number | REASON | LOADED_CP_NUMBER = 123456
Show error reasons for 234567 | Show error reasons for 234567 |  | FAILED_PARTS |  |  | 
What errors for failed parts 345678? | What errors for failed parts 345678? | SELECT      AWARD_NUMBER, PART_NUMBER, REASON, LOADED_CP_NUMBER    FROM CRM_PARTS_ERROS_FINAL WHERE LOADED_CP_NUMBER = 345678 | FAILED_PARTS | parts_failed_by_contract_number | AWARD_NUMBER, PART_NUMBER, REASON, LOADED_CP_NUMBER | LOADED_CP_NUMBER = 345678
Why parts failed in 456789? | Why parts failed in 456789? | SELECT      REASON    FROM CRM_PARTS_ERROS_FINAL WHERE LOADED_CP_NUMBER = 456789 | FAILED_PARTS | parts_failed_by_contract_number | REASON | LOADED_CP_NUMBER = 456789
Show failure reasons for 567890 | Show failure reasons for 567890 |  | FAILED_PARTS |  |  | 
What caused parts to fail for 678901? | What caused parts to fail for 678901? | SELECT      REASON    FROM CRM_PARTS_ERROS_FINAL WHERE LOADED_CP_NUMBER = 678901 | FAILED_PARTS | parts_failed_by_contract_number | REASON | LOADED_CP_NUMBER = 678901
Error details for failed parts 789012 | Error details for failed parts 789012 | SELECT      INVOICE_PART_NUMBER, PRICE, LEAD_TIME, MOQ    FROM CRM_PARTS_ERROS_FINAL WHERE LOADED_CP_NUMBER = 789012 | FAILED_PARTS | parts_failed_by_contract_number | INVOICE_PART_NUMBER, PRICE, LEAD_TIME, MOQ | LOADED_CP_NUMBER = 789012
Why failed parts in 890123? | Why failed parts in 890123? | SELECT      REASON    FROM CRM_PARTS_ERROS_FINAL WHERE LOADED_CP_NUMBER = 890123 | FAILED_PARTS | parts_failed_by_contract_number | REASON | LOADED_CP_NUMBER = 890123
Show error info for 123456 | Show error info for 123456 |  | FAILED_PARTS |  |  | 
What errors caused failure for 234567? | What errors caused failure for 234567? |  | FAILED_PARTS |  |  | 
Show me part errors for 123456 | Show me part errors for 123456 | SELECT      AWARD_NUMBER, PART_NUMBER, REASON, LOADED_CP_NUMBER    FROM CRM_PARTS_ERROS_FINAL WHERE LOADED_CP_NUMBER = 123456 | FAILED_PARTS | parts_failed_by_contract_number | AWARD_NUMBER, PART_NUMBER, REASON, LOADED_CP_NUMBER | LOADED_CP_NUMBER = 123456
What part error for 234567? | What part error for 234567? | SELECT      AWARD_NUMBER, PART_NUMBER, REASON, LOADED_CP_NUMBER    FROM CRM_PARTS_ERROS_FINAL WHERE LOADED_CP_NUMBER = 234567 | FAILED_PARTS | parts_failed_by_contract_number | AWARD_NUMBER, PART_NUMBER, REASON, LOADED_CP_NUMBER | LOADED_CP_NUMBER = 234567
List parts with errors for 345678 | List parts with errors for 345678 | SELECT      AWARD_NUMBER, PART_NUMBER, REASON, LOADED_CP_NUMBER    FROM CRM_PARTS_ERROS_FINAL WHERE LOADED_CP_NUMBER = 345678 | FAILED_PARTS | parts_failed_by_contract_number | AWARD_NUMBER, PART_NUMBER, REASON, LOADED_CP_NUMBER | LOADED_CP_NUMBER = 345678
Show error parts for 456789 | Show error parts for 456789 | SELECT      AWARD_NUMBER, PART_NUMBER, REASON, LOADED_CP_NUMBER    FROM CRM_PARTS_ERROS_FINAL WHERE LOADED_CP_NUMBER = 456789 | FAILED_PARTS | parts_failed_by_contract_number | AWARD_NUMBER, PART_NUMBER, REASON, LOADED_CP_NUMBER | LOADED_CP_NUMBER = 456789
What parts have errors in 567890? | What parts have errors in 567890? | SELECT      AWARD_NUMBER, PART_NUMBER, REASON, LOADED_CP_NUMBER    FROM CRM_PARTS_ERROS_FINAL WHERE LOADED_CP_NUMBER = 567890 | FAILED_PARTS | parts_failed_by_contract_number | AWARD_NUMBER, PART_NUMBER, REASON, LOADED_CP_NUMBER | LOADED_CP_NUMBER = 567890
Get parts errors for 678901 | Get parts errors for 678901 | SELECT      AWARD_NUMBER, PART_NUMBER, REASON, LOADED_CP_NUMBER    FROM CRM_PARTS_ERROS_FINAL WHERE LOADED_CP_NUMBER = 678901 | FAILED_PARTS | parts_failed_by_contract_number | AWARD_NUMBER, PART_NUMBER, REASON, LOADED_CP_NUMBER | LOADED_CP_NUMBER = 678901
Show parts with issues for 789012 | Show parts with issues for 789012 |  | FAILED_PARTS |  |  | 
List error parts for 890123 | List error parts for 890123 | SELECT      AWARD_NUMBER, PART_NUMBER, REASON, LOADED_CP_NUMBER    FROM CRM_PARTS_ERROS_FINAL WHERE LOADED_CP_NUMBER = 890123 | FAILED_PARTS | parts_failed_by_contract_number | AWARD_NUMBER, PART_NUMBER, REASON, LOADED_CP_NUMBER | LOADED_CP_NUMBER = 890123
What parts errors for 123456? | What parts errors for 123456? | SELECT      AWARD_NUMBER, PART_NUMBER, REASON, LOADED_CP_NUMBER    FROM CRM_PARTS_ERROS_FINAL WHERE LOADED_CP_NUMBER = 123456 | FAILED_PARTS | parts_failed_by_contract_number | AWARD_NUMBER, PART_NUMBER, REASON, LOADED_CP_NUMBER | LOADED_CP_NUMBER = 123456
Show all error parts for 234567 | Show all error parts for 234567 | SELECT      AWARD_NUMBER, PART_NUMBER, REASON, LOADED_CP_NUMBER    FROM CRM_PARTS_ERROS_FINAL WHERE LOADED_CP_NUMBER = 234567 | FAILED_PARTS | parts_failed_by_contract_number | AWARD_NUMBER, PART_NUMBER, REASON, LOADED_CP_NUMBER | LOADED_CP_NUMBER = 234567
What columns have errors for 123456? | What columns have errors for 123456? |  | FAILED_PARTS |  |  | 
Show error columns for 234567 | Show error columns for 234567 |  | FAILED_PARTS |  |  | 
Which columns failed for 345678? | Which columns failed for 345678? |  | FAILED_PARTS |  |  | 
What column errors for 456789? | What column errors for 456789? |  | FAILED_PARTS |  |  | 
Show failed columns for 567890 | Show failed columns for 567890 |  | FAILED_PARTS |  |  | 
Error column details for 678901 | Error column details for 678901 |  | FAILED_PARTS |  |  | 
What columns with errors for 789012? | What columns with errors for 789012? |  | FAILED_PARTS |  |  | 
Show column failures for 890123 | Show column failures for 890123 |  | FAILED_PARTS |  |  | 
Which columns error for 123456? | Which columns error for 123456? |  | FAILED_PARTS |  |  | 
Error column info for 234567 | Error column info for 234567 |  | FAILED_PARTS |  |  | 
Show me parts with missing data for 123456 | Show me parts with missing data for 123456 |  | FAILED_PARTS |  |  | 
What parts missing info for 234567? | What parts missing info for 234567? |  | FAILED_PARTS |  |  | 
List parts with no data for 345678 | List parts with no data for 345678 |  | FAILED_PARTS |  |  | 
Show incomplete parts for 456789 | Show incomplete parts for 456789 |  | FAILED_PARTS |  |  | 
What parts missing data in 567890? | What parts missing data in 567890? |  | FAILED_PARTS |  |  | 
Get parts with missing info for 678901 | Get parts with missing info for 678901 |  | FAILED_PARTS |  |  | 
Show parts missing data for 789012 | Show parts missing data for 789012 |  | FAILED_PARTS |  |  | 
List incomplete parts for 890123 | List incomplete parts for 890123 |  | FAILED_PARTS |  |  | 
What parts no data for 123456? | What parts no data for 123456? |  | FAILED_PARTS |  |  | 
Show missing data parts for 234567 | Show missing data parts for 234567 |  | FAILED_PARTS |  |  | 
What errors occurred during loading for 123456? | What errors occurred during loading for 123456? |  | FAILED_PARTS |  |  | 
Show loading errors for 234567 | Show loading errors for 234567 |  | FAILED_PARTS |  |  | 
What load errors for 345678? | What load errors for 345678? |  | FAILED_PARTS |  |  | 
Show loading issues for 456789 | Show loading issues for 456789 |  | FAILED_PARTS |  |  | 
What happened during load for 567890? | What happened during load for 567890? |  | FAILED_PARTS |  |  | 
Loading error details for 678901 | Loading error details for 678901 |  | FAILED_PARTS |  |  | 
What load problems for 789012? | What load problems for 789012? |  | FAILED_PARTS |  |  | 
Show load failures for 890123 | Show load failures for 890123 |  | FAILED_PARTS |  |  | 
Loading issues for 123456 | Loading issues for 123456 |  | FAILED_PARTS |  |  | 
What errors during loading for 234567? | What errors during loading for 234567? |  | FAILED_PARTS |  |  | 
List validation issues for 123456 | List validation issues for 123456 |  | FAILED_PARTS |  |  | 
Show validation errors for 234567 | Show validation errors for 234567 |  | FAILED_PARTS |  |  | 
What validation problems for 345678? | What validation problems for 345678? |  | FAILED_PARTS |  |  | 
Show validation issues for 456789 | Show validation issues for 456789 |  | FAILED_PARTS |  |  | 
What validation errors in 567890? | What validation errors in 567890? |  | FAILED_PARTS |  |  | 
Get validation problems for 678901 | Get validation problems for 678901 |  | FAILED_PARTS |  |  | 
Show validation failures for 789012 | Show validation failures for 789012 |  | FAILED_PARTS |  |  | 
List validation errors for 890123 | List validation errors for 890123 |  | FAILED_PARTS |  |  | 
What validation issues for 123456? | What validation issues for 123456? |  | FAILED_PARTS |  |  | 
Show validation problems for 234567 | Show validation problems for 234567 |  | FAILED_PARTS |  |  | 
